Loaded config: {'model': 'bilstm', 'seq_len': 96, 'hidden_dim': 32, 'num_layers': 1, 'dropout': 0.1, 'n_epochs': 50, 'lr': 0.001, 'batch_size': 4096, 'quantiles': [0.1, 0.5, 0.9], 'train_split': 0.6, 'val_split': 0.8, 'data_root': 'earne_bundle'}
Loading data from: earne_bundle/processed/data.pt
Filtered nodes: 103 / 112
Initializing baseline model: bilstm
epoch   1/50  train_loss=0.2522  val_loss=0.2366
epoch   2/50  train_loss=0.1827  val_loss=0.2230
epoch   3/50  train_loss=0.1756  val_loss=0.2187
epoch   4/50  train_loss=0.1731  val_loss=0.2159
epoch   5/50  train_loss=0.1699  val_loss=0.2134
epoch   6/50  train_loss=0.1681  val_loss=0.2096
epoch   7/50  train_loss=0.1666  val_loss=0.2097
epoch   8/50  train_loss=0.1653  val_loss=0.2059
epoch   9/50  train_loss=0.1643  val_loss=0.2097
epoch  10/50  train_loss=0.1633  val_loss=0.2074
epoch  11/50  train_loss=0.1625  val_loss=0.2063
epoch  12/50  train_loss=0.1619  val_loss=0.2060
epoch  13/50  train_loss=0.1611  val_loss=0.2055
epoch  14/50  train_loss=0.1606  val_loss=0.2050
epoch  15/50  train_loss=0.1654  val_loss=0.2086
epoch  16/50  train_loss=0.1610  val_loss=0.2063
epoch  17/50  train_loss=0.1600  val_loss=0.2053
epoch  18/50  train_loss=0.1595  val_loss=0.2006
epoch  19/50  train_loss=0.1589  val_loss=0.2048
epoch  20/50  train_loss=0.1587  val_loss=0.2023
epoch  21/50  train_loss=0.1580  val_loss=0.2287
epoch  22/50  train_loss=0.1587  val_loss=0.2004
epoch  23/50  train_loss=0.1572  val_loss=0.2003
epoch  24/50  train_loss=0.1568  val_loss=0.1990
epoch  25/50  train_loss=0.1565  val_loss=0.1997
epoch  26/50  train_loss=0.1562  val_loss=0.1985
epoch  27/50  train_loss=0.1559  val_loss=0.2000
epoch  28/50  train_loss=0.1556  val_loss=0.1983
epoch  29/50  train_loss=0.1555  val_loss=0.1983
epoch  30/50  train_loss=0.1551  val_loss=0.1989
epoch  31/50  train_loss=0.1550  val_loss=0.1985
epoch  32/50  train_loss=0.1547  val_loss=0.1952
epoch  33/50  train_loss=0.1545  val_loss=0.1972
epoch  34/50  train_loss=0.1545  val_loss=0.1968
epoch  35/50  train_loss=0.1542  val_loss=0.1954
epoch  36/50  train_loss=0.1539  val_loss=0.1952
epoch  37/50  train_loss=0.1539  val_loss=0.1952
epoch  38/50  train_loss=0.1538  val_loss=0.1948
epoch  39/50  train_loss=0.1535  val_loss=0.1965
epoch  40/50  train_loss=0.1534  val_loss=0.1962
epoch  41/50  train_loss=0.1533  val_loss=0.1969
epoch  42/50  train_loss=0.1531  val_loss=0.1960
epoch  43/50  train_loss=0.1536  val_loss=0.1956
epoch  44/50  train_loss=0.1529  val_loss=0.1949
epoch  45/50  train_loss=0.1528  val_loss=0.1960
epoch  46/50  train_loss=0.1526  val_loss=0.1950
epoch  47/50  train_loss=0.1526  val_loss=0.1933
epoch  48/50  train_loss=0.1523  val_loss=0.1935
epoch  49/50  train_loss=0.1524  val_loss=0.1962
epoch  50/50  train_loss=0.1521  val_loss=0.1950
Saving model to results/bilstm_model.pt
Training finished successfully.
