Loaded config: {'model': 'cvae', 'seq_len': 96, 'latent_dim': 32, 'hidden_dim': 64, 'decoder_dim': 64, 'num_layers': 2, 'dropout': 0.1, 'n_epochs': 50, 'lr': 0.001, 'batch_size': 4096, 'solar_weight': 1.0, 'gate_weight': 1.0, 'kl_weight': 0.1, 'daytime_threshold': 0.005, 'pv_eps': 0.001, 'quantiles': [0.1, 0.5, 0.9], 'train_split': 0.6, 'val_split': 0.8, 'data_root': 'earne_bundle'}
Loading data from: earne_bundle/processed/data.pt
Filtered nodes: 103 / 112
Initializing baseline model: cvae
epoch   1/50  train_loss=-0.2467  val_loss=0.3832
epoch   2/50  train_loss=-0.8385  val_loss=-0.1876
epoch   3/50  train_loss=-0.9097  val_loss=1.2563
epoch   4/50  train_loss=-0.9785  val_loss=-0.0571
epoch   5/50  train_loss=-1.0328  val_loss=0.0030
epoch   6/50  train_loss=-1.0888  val_loss=-0.0924
epoch   7/50  train_loss=-1.1140  val_loss=-0.0302
epoch   8/50  train_loss=-1.1420  val_loss=0.1469
epoch   9/50  train_loss=-1.1676  val_loss=-0.0913
epoch  10/50  train_loss=-1.1820  val_loss=0.3509
epoch  11/50  train_loss=-1.2005  val_loss=-0.2421
epoch  12/50  train_loss=-1.2211  val_loss=-0.1093
epoch  13/50  train_loss=-1.2226  val_loss=-0.2166
epoch  14/50  train_loss=-1.2389  val_loss=-0.1954
epoch  15/50  train_loss=-1.2539  val_loss=-0.2473
epoch  16/50  train_loss=-1.2593  val_loss=-0.4184
epoch  17/50  train_loss=-1.2718  val_loss=-0.3350
epoch  18/50  train_loss=-1.2801  val_loss=-0.3708
epoch  19/50  train_loss=-1.2875  val_loss=-0.4548
epoch  20/50  train_loss=-1.2962  val_loss=-0.2639
epoch  21/50  train_loss=-1.2992  val_loss=-0.3208
epoch  22/50  train_loss=-1.3082  val_loss=-0.5919
epoch  23/50  train_loss=-1.3127  val_loss=-0.4441
epoch  24/50  train_loss=-1.3258  val_loss=-0.5260
epoch  25/50  train_loss=-1.3252  val_loss=-0.3831
epoch  26/50  train_loss=-1.3370  val_loss=-0.4878
epoch  27/50  train_loss=-1.3371  val_loss=-0.5651
epoch  28/50  train_loss=-1.3362  val_loss=-0.4245
epoch  29/50  train_loss=-1.3456  val_loss=-0.3764
epoch  30/50  train_loss=-1.3538  val_loss=-0.4273
epoch  31/50  train_loss=-1.3542  val_loss=-0.3806
epoch  32/50  train_loss=-1.3618  val_loss=-0.4842
epoch  33/50  train_loss=-1.3651  val_loss=-0.5590
epoch  34/50  train_loss=-1.3696  val_loss=-0.3038
epoch  35/50  train_loss=-1.3760  val_loss=-0.2893
epoch  36/50  train_loss=-1.3782  val_loss=-0.5161
epoch  37/50  train_loss=-1.3844  val_loss=-0.5492
epoch  38/50  train_loss=-1.3820  val_loss=-0.4487
epoch  39/50  train_loss=-1.3929  val_loss=-0.3763
epoch  40/50  train_loss=-1.3874  val_loss=-0.4773
epoch  41/50  train_loss=-1.3990  val_loss=-0.4470
epoch  42/50  train_loss=-1.4010  val_loss=-0.5124
epoch  43/50  train_loss=-1.4061  val_loss=-0.4484
epoch  44/50  train_loss=-1.4058  val_loss=-0.3522
epoch  45/50  train_loss=-1.4080  val_loss=-0.3950
epoch  46/50  train_loss=-1.4110  val_loss=-0.3822
epoch  47/50  train_loss=-1.4185  val_loss=-0.3927
epoch  48/50  train_loss=-1.4193  val_loss=-0.3521
epoch  49/50  train_loss=-1.4224  val_loss=-0.2327
epoch  50/50  train_loss=-1.4286  val_loss=-0.3443
Saving model to results/cvae_model.pt
Training finished successfully.
