arch,condition,mitigation,device,target,metric,value,data_source
lstm,control_5min,none,cuda,pv,rmse,433.0831298828125,synthetic
lstm,control_5min,none,cuda,pv,rmse_maxnorm,0.0150376064702868,synthetic
lstm,control_5min,none,cuda,pv,mae,98.44518280029295,synthetic
lstm,control_5min,none,cuda,pv,mape,52.11591720581055,synthetic
lstm,control_5min,none,cuda,pv,r2,0.790362928235127,synthetic
lstm,control_5min,none,cuda,pv,mbe,-54.3911018371582,synthetic
lstm,control_5min,none,cuda,pv,efe,21.050960540771484,synthetic
lstm,control_5min,none,cuda,pv,pinball_q10,15.350550651550291,synthetic
lstm,control_5min,none,cuda,pv,pinball_q50,49.22259140014648,synthetic
lstm,control_5min,none,cuda,pv,pinball_q90,42.92689895629883,synthetic
lstm,control_5min,none,cuda,pv,coverage,0.8865748516403539,synthetic
lstm,control_5min,none,cuda,pv,sharpness,218.703842163086,synthetic
lstm,control_5min,none,cuda,pv,export_violation_rate,0.5343186653230322,synthetic
lstm,control_5min,none,cuda,pv,export_violation_count,4772.0,synthetic
lstm,control_5min,none,cuda,pv,export_violation_mag,5.949014186859131,synthetic
lstm,control_5min,none,cuda,pv,nrmse,0.0617349852527906,synthetic
lstm,control_5min,none,cuda,pv,nmae,0.0140331301060581,synthetic
lstm,control_5min,none,cuda,pv,nmbe,-0.0077533241036393,synthetic
lstm,control_5min,none,cuda,pv,npinball_q10,0.002188185022012,synthetic
lstm,control_5min,none,cuda,pv,npinball_q50,0.007016565053029,synthetic
lstm,control_5min,none,cuda,pv,npinball_q90,0.0061191288488476,synthetic
lstm,control_5min,none,cuda,pv,nsharpness,0.0311757201771405,synthetic
lstm,control_5min,none,cuda,pv,nexport_violation_mag,0.0008480180310735,synthetic
lstm,mixed_cadence,none,cuda,pv,rmse,462.6925048828125,synthetic
lstm,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0160657092928886,synthetic
lstm,mixed_cadence,none,cuda,pv,mae,102.4845199584961,synthetic
lstm,mixed_cadence,none,cuda,pv,mape,52.062477111816406,synthetic
lstm,mixed_cadence,none,cuda,pv,r2,0.7550510151441641,synthetic
lstm,mixed_cadence,none,cuda,pv,mbe,-59.62104034423828,synthetic
lstm,mixed_cadence,none,cuda,pv,efe,23.075103759765625,synthetic
lstm,mixed_cadence,none,cuda,pv,pinball_q10,15.76305866241455,synthetic
lstm,mixed_cadence,none,cuda,pv,pinball_q50,51.24225997924805,synthetic
lstm,mixed_cadence,none,cuda,pv,pinball_q90,47.563232421875,synthetic
lstm,mixed_cadence,none,cuda,pv,coverage,0.8834397044004031,synthetic
lstm,mixed_cadence,none,cuda,pv,sharpness,210.3048553466797,synthetic
lstm,mixed_cadence,none,cuda,pv,export_violation_rate,0.5355503303101556,synthetic
lstm,mixed_cadence,none,cuda,pv,export_violation_count,4783.0,synthetic
lstm,mixed_cadence,none,cuda,pv,export_violation_mag,3.705667018890381,synthetic
lstm,mixed_cadence,none,cuda,pv,nrmse,0.0659557322707222,synthetic
lstm,mixed_cadence,none,cuda,pv,nmae,0.0146089281519441,synthetic
lstm,mixed_cadence,none,cuda,pv,nmbe,-0.0084988395816838,synthetic
lstm,mixed_cadence,none,cuda,pv,npinball_q10,0.0022469870722656,synthetic
lstm,mixed_cadence,none,cuda,pv,npinball_q50,0.007304464075972,synthetic
lstm,mixed_cadence,none,cuda,pv,npinball_q90,0.006780027319314,synthetic
lstm,mixed_cadence,none,cuda,pv,nsharpness,0.0299784642891323,synthetic
lstm,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.0005282341494688,synthetic
mlp,control_5min,none,cuda,pv,rmse,395.3246154785156,synthetic
mlp,control_5min,none,cuda,pv,rmse_maxnorm,0.0137265473604202,synthetic
mlp,control_5min,none,cuda,pv,mae,100.17521667480467,synthetic
mlp,control_5min,none,cuda,pv,mape,53.65658950805664,synthetic
mlp,control_5min,none,cuda,pv,r2,0.819520604738361,synthetic
mlp,control_5min,none,cuda,pv,mbe,-66.28302001953125,synthetic
mlp,control_5min,none,cuda,pv,efe,25.653488159179688,synthetic
mlp,control_5min,none,cuda,pv,pinball_q10,15.714797973632812,synthetic
mlp,control_5min,none,cuda,pv,pinball_q50,50.08760833740234,synthetic
mlp,control_5min,none,cuda,pv,pinball_q90,42.5824089050293,synthetic
mlp,control_5min,none,cuda,pv,coverage,0.8412271862053522,synthetic
mlp,control_5min,none,cuda,pv,sharpness,238.27186584472656,synthetic
mlp,control_5min,none,cuda,pv,export_violation_rate,0.5217780763632291,synthetic
mlp,control_5min,none,cuda,pv,export_violation_count,4660.0,synthetic
mlp,control_5min,none,cuda,pv,export_violation_mag,7.995292186737059,synthetic
mlp,control_5min,none,cuda,pv,nrmse,0.0563525975099402,synthetic
mlp,control_5min,none,cuda,pv,nmae,0.0142797423806085,synthetic
mlp,control_5min,none,cuda,pv,nmbe,-0.0094484891723291,synthetic
mlp,control_5min,none,cuda,pv,npinball_q10,0.0022401076241767,synthetic
mlp,control_5min,none,cuda,pv,npinball_q50,0.0071398711903042,synthetic
mlp,control_5min,none,cuda,pv,npinball_q90,0.006070022599337,synthetic
mlp,control_5min,none,cuda,pv,nsharpness,0.0339650960961222,synthetic
mlp,control_5min,none,cuda,pv,nexport_violation_mag,0.0011397101645901,synthetic
mlp,mixed_cadence,none,cuda,pv,rmse,393.0856628417969,synthetic
mlp,mixed_cadence,none,cuda,pv,rmse_maxnorm,0.0136488061398267,synthetic
mlp,mixed_cadence,none,cuda,pv,mae,99.13468170166016,synthetic
mlp,mixed_cadence,none,cuda,pv,mape,52.2043571472168,synthetic
mlp,mixed_cadence,none,cuda,pv,r2,0.8212035892344612,synthetic
mlp,mixed_cadence,none,cuda,pv,mbe,-66.58647918701172,synthetic
mlp,mixed_cadence,none,cuda,pv,efe,25.77092933654785,synthetic
mlp,mixed_cadence,none,cuda,pv,pinball_q10,15.685839653015137,synthetic
mlp,mixed_cadence,none,cuda,pv,pinball_q50,49.56734085083008,synthetic
mlp,mixed_cadence,none,cuda,pv,pinball_q90,42.3705940246582,synthetic
mlp,mixed_cadence,none,cuda,pv,coverage,0.8408912775725003,synthetic
mlp,mixed_cadence,none,cuda,pv,sharpness,233.6808624267578,synthetic
mlp,mixed_cadence,none,cuda,pv,export_violation_rate,0.5190908073004142,synthetic
mlp,mixed_cadence,none,cuda,pv,export_violation_count,4636.0,synthetic
mlp,mixed_cadence,none,cuda,pv,export_violation_mag,5.4310407638549805,synthetic
mlp,mixed_cadence,none,cuda,pv,nrmse,0.0560334400584668,synthetic
mlp,mixed_cadence,none,cuda,pv,nmae,0.0141314165586364,synthetic
mlp,mixed_cadence,none,cuda,pv,nmbe,-0.0094917465655098,synthetic
mlp,mixed_cadence,none,cuda,pv,npinball_q10,0.0022359796834352,synthetic
mlp,mixed_cadence,none,cuda,pv,npinball_q50,0.0070657082793182,synthetic
mlp,mixed_cadence,none,cuda,pv,npinball_q90,0.0060398288845193,synthetic
mlp,mixed_cadence,none,cuda,pv,nsharpness,0.0333106593177131,synthetic
mlp,mixed_cadence,none,cuda,pv,nexport_violation_mag,0.0007741821334731,synthetic
lstm,control_5min,none,cuda,pv,rmse,172.72491455078125,real_p1
lstm,control_5min,none,cuda,pv,rmse_maxnorm,0.0645458996295929,real_p1
lstm,control_5min,none,cuda,pv,mae,81.77507019042969,real_p1
lstm,control_5min,none,cuda,pv,mape,44.53568649291992,real_p1
lstm,control_5min,none,cuda,pv,r2,0.9451332472344371,real_p1
lstm,control_5min,none,cuda,pv,mbe,44.55206298828125,real_p1
lstm,control_5min,none,cuda,pv,efe,12.60241413116455,real_p1
lstm,control_5min,none,cuda,pv,pinball_q10,16.81877326965332,real_p1
lstm,control_5min,none,cuda,pv,pinball_q50,40.88753509521485,real_p1
